sample_id,algo,key_size,operation,keygen_time_ms,enc_time_ms,dec_time_ms,memory_peak_kb,cpu_percent,system_load,timing_variance,label_algo_key,misuse_flag,misuse_rule,misuse_reason,context,enc_dec_ratio,memory_delta_kb,keygen_enc_ratio,total_time_ms,log_keygen_ms,log_dec_ms,label_encoded
Kyber_768-000006,Kyber,768,keygen+enc+dec,-0.4471913666379286,-0.6930704386449853,-0.6048395717642183,-0.9951466679930088,-0.1624840840121665,high,-0.13865540509814683,Kyber_768,0,,,pqc_context,0.06331905990401426,0.5025393693429928,-0.6026081029388373,-0.4500372094414907,-0.9206073864414113,-0.805556507250971,2
Kyber_768-000002,Kyber,768,keygen+enc+dec,-0.44718723509730635,-0.6707971255334075,-0.6042297715667689,-1.001453588506406,0.7720397601288141,medium,-0.11931979407001979,Kyber_768,0,,,pqc_context,0.1522366630859683,-0.2652613378083471,-0.6027133035201587,-0.45001832149889287,-0.9198810649612759,-0.8022783158327884,2
RSA_2048-000000,RSA,2048,keygen+enc+dec,-0.11621496771756278,0.105642036595462,0.08142186417916537,1.0049668587918772,-0.7730012044129099,high,-0.2118811027000843,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9634258029580106,0.6929647477163612,0.3088784682923631,-0.11402864912261791,0.9378472207975026,0.7046207451361327,4
RSA_1024-000009,RSA,1024,keygen+enc+dec,-0.3978340239461812,-0.30615417661069544,-0.4212304075874555,0.988106499688204,-0.7730012044129099,idle,-0.2113289501737133,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,-0.8631165963809015,-1.3596052212768144,-0.36299083884770067,-0.39887494478432883,0.2538927680510709,-0.12728746651765896,3
RSA_1024-000003,RSA,1024,keygen+enc+dec,-0.3658745305910884,-0.3044417439836442,-0.41542289834438334,0.9875149081407066,-0.7633867615719534,idle,6.383557711440038,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,-0.868256207245292,-1.4316252201888557,-0.20849235306674213,-0.3671719323427066,0.43083383150544696,-0.11206114853376013,3
RSA_4096-000001,RSA,4096,keygen+enc+dec,3.950634386754093,2.220613220602873,2.2350790207505242,1.0073332249818665,-0.7730012044129099,low,-0.14725614375310733,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9838268190741565,0.9810447433645262,3.1498721519649022,3.937599472454651,1.8829030985448951,1.8970446570020247,5
Kyber_512-000004,Kyber,512,keygen+enc+dec,-0.4472246055745033,-0.6337840339732861,-0.6088855290632847,-1.0094923932751014,2.0353775494305104,low,-0.17918853683634975,Kyber_512,0,,,pqc_context,1.68706031563489,-1.2439005917746875,-0.6033923106573006,-0.4500979289137411,-0.9265037865299286,-0.8275973416183767,1
RSA_2048-000005,RSA,2048,keygen+enc+dec,0.23520769334191138,-0.024152174263084764,0.06630954104413238,1.0049668587918772,-0.7730012044129099,medium,-0.218406775116404,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.974791638494979,0.6929647477163612,1.5762399051412803,0.2335870365344147,1.2016054074088713,0.6877899077221402,4
RSA_4096-000007,RSA,4096,keygen+enc+dec,0.9568632497174271,1.3458874390572093,2.206829691548625,1.0073332249818665,-0.7730012044129099,high,-0.21837082099840774,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-1.0050291651509162,0.9810447433645262,1.0735925556723356,0.9737257644738558,1.4652157163422652,1.8880794908149106,5
RSA_2048-000002,RSA,2048,keygen+enc+dec,-0.1798011978585363,-0.030487590535178823,0.07017657894460644,1.0049668587918772,-0.7633867615719534,medium,-0.21924656058674502,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9759286751914129,0.6929647477163612,0.25716898992621984,-0.17714602413735364,0.8602758871084917,0.6921250722566115,4
Kyber_512-000005,Kyber,512,keygen+enc+dec,-0.4472301898763739,-0.7670557104055375,-0.6106859473935016,-1.005378613551692,0.014421664261434748,medium,-0.210406983862238,Kyber_512,0,,,pqc_context,0.43322762895297207,-0.7430915243400806,-0.602681951031899,-0.45017009038781136,-0.9275037938061719,-0.8375716585068066,1
RSA_1024-000005,RSA,1024,keygen+enc+dec,-0.3737872134474372,-0.4288882556826281,-0.43005357983994735,0.9875149081407066,-0.7633867615719534,medium,0.048115965287238875,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,-0.9008842105335042,-1.4316252201888557,-0.13956141952922352,-0.3752196675997477,0.3943330152327065,-0.15089619570300414,3
Kyber_1024-000000,Kyber,1024,keygen+enc+dec,-0.44712367277953524,-0.4610738067992536,-0.5999016979126187,-0.9840735532027278,0.36246449510406337,high,-0.06878628122628802,Kyber_1024,0,,,pqc_context,0.8210332525404817,1.850573698979125,-0.6029325825983809,-0.44983282641089395,-0.9088847227031992,-0.7793297884921733,0
RSA_4096-000004,RSA,4096,keygen+enc+dec,0.491684346399963,1.3517319190130157,2.123268301415051,1.0073332249818665,-0.7730012044129099,low,-0.21536351584314986,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-1.003200464766714,0.9810447433645262,0.5148607408032375,0.5123019465422564,1.3181298473795986,1.8610558606709309,5
RSA_2048-000008,RSA,2048,keygen+enc+dec,-0.17331117760595993,-0.10062135000485471,0.06700059209206619,1.0049668587918772,-0.7633867615719534,idle,-0.20075587133152986,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9828294443081047,0.6929647477163612,0.361426026434508,-0.17078367330528207,0.8689899646624437,0.688566063047103,4
RSA_4096-000000,RSA,4096,keygen+enc+dec,3.4249557890414226,1.7306529324677624,2.1544215527660135,1.0073332249818665,-0.7730012044129099,high,-0.19812865256651804,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9941443242134491,0.9810447433645262,3.330484890841243,3.416158857431755,1.8363146299098394,1.8712205836782578,5
Kyber_768-000004,Kyber,768,keygen+enc+dec,-0.4471936079836668,-0.5170989916556129,-0.6059924962034621,-1.003794072566192,2.0353775494305104,low,-0.13285138319303763,Kyber_768,0,,,pqc_context,1.7255511900681382,-0.5501904585041101,-0.6033269938791033,-0.44999329646453606,-0.9210020168450637,-0.8117854368895508,2
Kyber_1024-000004,Kyber,1024,keygen+enc+dec,-0.44716261239940663,-0.38811716351092324,-0.6028598989803556,-0.9961547769644159,2.0353775494305104,low,-0.05123553534154632,Kyber_1024,0,,,pqc_context,1.7615755577721879,0.37981278994694206,-0.6033126220631345,-0.4498816470751419,-0.9155820415547155,-0.7949549574066113,0
Kyber_768-000005,Kyber,768,keygen+enc+dec,-0.44720128514462876,-0.7080147738919821,-0.6084638622784001,-0.9990129036282622,0.014421664261434748,medium,-0.19798740424581848,Kyber_768,0,,,pqc_context,0.5820781578357528,0.031866170203143016,-0.602656811261672,-0.4500950728820423,-0.9223569556591593,-0.8252763195963053,2
Kyber_512-000009,Kyber,512,keygen+enc+dec,-0.447215437527343,-0.7049756443149628,-0.6103983026300344,-1.011626005165622,0.03461199422744367,idle,-0.19832126391292654,Kyber_512,0,,,pqc_context,1.457883971488982,-1.5036452191008969,-0.602953181185332,-0.4501309818202305,-0.924867920667972,-0.8359710826327135,1
RSA_2048-000001,RSA,2048,keygen+enc+dec,-0.23690175599779725,0.046951768879254965,0.046380801514409244,1.0049668587918772,-0.7730012044129099,low,-0.21562546727426538,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9645975171238053,0.6929647477163612,0.014384244882088549,-0.23392008124892585,0.7730837753640415,0.6651305085661847,4
Kyber_512-000006,Kyber,512,keygen+enc+dec,-0.4472242484039201,-0.7582831459918723,-0.6081474027803281,-1.0019719705999004,-0.1624840840121665,high,-0.18483846966433215,Kyber_512,0,,,pqc_context,-0.08429820128436101,-0.3283688618550232,-0.6026249422994334,-0.4501311327648821,-0.9264399191407678,-0.8235381062849327,1
Kyber_1024-000001,Kyber,1024,keygen+enc+dec,-0.44717461373231654,-0.5809733130926201,-0.6064193563416767,-0.9981854149512005,2.1094087593058757,low,-0.14477530961136598,Kyber_1024,0,,,pqc_context,1.300698627986201,0.13260414368136017,-0.6029961707735412,-0.45000126276713964,-0.9176711210253743,-0.8141020105447877,0
RSA_1024-000008,RSA,1024,keygen+enc+dec,-0.4077301232087356,-0.2640213206092877,-0.41679796428412647,0.988106499688204,-0.7633867615719534,idle,-0.1555512724050997,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,-0.8524210813319738,-1.3596052212768144,-0.4252522044186833,-0.4086032600569657,0.17565480465219208,-0.11564442048480034,3
Kyber_768-000001,Kyber,768,keygen+enc+dec,-0.4472026094849933,-0.6563846379623891,-0.608615139635075,-1.005534830694703,2.1094087593058757,low,-0.18164368946523665,Kyber_768,0,,,pqc_context,1.272662243930608,-0.7621093053027922,-0.60302133682496,-0.4500806318483274,-0.9225911958167892,-0.8261083603424989,2
Kyber_1024-000007,Kyber,1024,keygen+enc+dec,-0.44714385492406095,-0.6581146040293078,-0.6065816905151186,-0.9880453509547379,-0.05672521276164395,high,-0.08612130240305226,Kyber_1024,0,,,pqc_context,0.6398557339018683,1.3670494312834076,-0.6021804766745715,-0.4499989568889739,-0.9123406030484668,-0.8149844796801625,0
RSA_1024-000002,RSA,1024,keygen+enc+dec,-0.3827153061862623,-0.3351252637516274,-0.42351313766724846,0.9875149081407066,-0.7633867615719534,medium,0.19798556985204316,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,-0.8715194398579836,-1.4316252201888557,-0.2713477918274163,-0.38394731119301034,0.3482425460581336,-0.13333965125338684,3
Kyber_512-000003,Kyber,512,keygen+enc+dec,-0.44724354564829316,-0.6894410165924296,-0.6087726155102405,-1.0099867419619788,1.8103995869521257,idle,-0.20510888776036176,Kyber_512,0,,,pqc_context,0.9135828278511345,-1.3040823033655624,-0.6035294310557862,-0.45013425096360754,-0.9299066105882834,-0.8269752659982791,1
